type;latency;rank;duration;sac_amplitude;sac_angle;iEvent;CorScorePair;CorScoreEvent;CorScoreDetail;NrmzMeanConfPair;NrmzMeanConfEvent;NrmzMeanConfDetail;SumCorConfPair;SumCorConfEvent;SumCorConfDetail;PairNCat;eCorScorePair;eCorScoreEvent;eCorScoreDetail;eNrmzMeanConfPair;eNrmzMeanConfEvent;eNrmzMeanConfDetail;eSumCorConfPair;eSumCorConfEvent;eSumCorConfDetail;iBlock;iEventPerBlock;Refi;Refi2;NrmzMeanConfPair2bins;NrmzMeanConfEvent2bins;NrmzMeanConfDetail2bins;eNrmzMeanConfPair2bins;eNrmzMeanConfEvent2bins;eNrmzMeanConfDetail2bins;NrmzMeanConfPair_CorRefi;NrmzMeanConfEvent_CorRefi;NrmzMeanConfDetail_CorRefi;eNrmzMeanConfPair_CorRefi;eNrmzMeanConfEvent_CorRefi;eNrmzMeanConfDetail_CorRefi;eNrmzMeanConfPair_EventOnset2bins;eNrmzMeanConfEvent_EventOnset2bins;eNrmzMeanConfDetail_EventOnset2bins;eCorScorePair_EventOnset2bins;eCorScoreEvent_EventOnset2bins;eCorScoreDetail_EventOnset2bins;eSumCorConfPair_EventOnset2bins;eSumCorConfEvent_EventOnset2bins;eSumCorConfDetail_EventOnset2bins
EventOnset;31.872.625;0;0;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];Cor1;Cor1;Cor2;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1
bad_ET;31915;0;25;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
saccade;31968;0;5;0.44388;-125.649.301;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;31973;1;60;0.44388;-125.649.301;1;2;0;1;0.555049560167774;0;0.627118995282292;255.504.956.016.777;0.821393433072694;168.822.149.662.023;p1P;24;0;16;78.930.865.282.246;0;184.017.505.002.654;418.251.950.193.493;131.774.257.096.005;515.013.103.644.749;1;1;bpF;bp;Cor1;Cor1;Cor1;Cor1;Cor1;Cor2;Cor1bpF;Cor1bpF;Cor1bpF;Cor1bpF;Cor1bpF;Cor2bpF;[];[];[];[];[];[];[];[];[]
saccade;32033;0;4;0.36129;-8.348.767;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;32037;2;25;0.36129;-8.348.767;1;2;0;1;0.555049560167774;0;0.627118995282292;255.504.956.016.777;0.821393433072694;168.822.149.662.023;p1P;24;0;16;78.930.865.282.246;0;184.017.505.002.654;418.251.950.193.493;131.774.257.096.005;515.013.103.644.749;1;1;weR;we;Cor1;Cor1;Cor1;Cor1;Cor1;Cor2;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor2weR;[];[];[];[];[];[];[];[];[]
saccade;32062;0;13;7.836.695;38.212.107;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;32075;3;527;7.836.695;38.212.107;1;2;0;2;0.863172511720603;0;0.863172511720603;28.631.725.117.206;0.821393433072694;284.228.297.239.665;p3O;24;0;16;78.930.865.282.246;0;184.017.505.002.654;418.251.950.193.493;131.774.257.096.005;515.013.103.644.749;1;1;bpF;bp;Cor2;Cor1;Cor2;Cor1;Cor1;Cor2;Cor2bpF;Cor1bpF;Cor2bpF;Cor1bpF;Cor1bpF;Cor2bpF;[];[];[];[];[];[];[];[];[]
saccade;32602;0;9;26.244;-4.846.407;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;32611;4;149;26.244;-4.846.407;1;2;0;2;0.863172511720603;0;0.863172511720603;28.631.725.117.206;0.656071639943179;275.962.207.583.189;p3F;24;0;16;78.930.865.282.246;0;184.017.505.002.654;418.251.950.193.493;131.774.257.096.005;515.013.103.644.749;1;1;beF;be;Cor2;Cor1;Cor2;Cor1;Cor1;Cor2;Cor2beF;Cor1beF;Cor2beF;Cor1beF;Cor1beF;Cor2beF;[];[];[];[];[];[];[];[];[]
